n	d	Condition	count
39	6	107349B_TLS_1h	5
39	6	107351B_TLS_2h	92
39	6	107353B_TLS_4h	343
39	6	107355B_TLS_8h	412
105	8	107323A_TLS_4h	1
39	7	107321A_TLS_2h	4
39	7	107323A_TLS_4h	22
39	7	107325A_TLS_8h	39
39	7	107349B_TLS_1h	1
39	7	107351B_TLS_2h	23
39	7	107353B_TLS_4h	92
39	7	107355B_TLS_8h	114
105	9	107325A_TLS_8h	1
39	8	107321A_TLS_2h	1
39	8	107323A_TLS_4h	2
39	8	107325A_TLS_8h	8
39	8	107351B_TLS_2h	8
39	8	107353B_TLS_4h	24
39	8	107355B_TLS_8h	18
39	9	107321A_TLS_2h	1
39	9	107323A_TLS_4h	1
39	9	107325A_TLS_8h	1
39	9	107351B_TLS_2h	1
39	9	107353B_TLS_4h	7
39	9	107355B_TLS_8h	9
39	10	107323A_TLS_4h	1
106	0	107317A_TLS_0h_no4sU	2
106	0	107319A_TLS_1h	1
106	0	107321A_TLS_2h	1
106	0	107347B_TLS_0h_no4sU	5
106	0	107349B_TLS_1h	1
106	1	107323A_TLS_4h	3
106	1	107353B_TLS_4h	2
40	0	107317A_TLS_0h_no4sU	292294
40	0	107319A_TLS_1h	234686
40	0	107321A_TLS_2h	275475
40	0	107323A_TLS_4h	202185
40	0	107325A_TLS_8h	156173
40	0	107347B_TLS_0h_no4sU	296746
40	0	107349B_TLS_1h	249298
40	0	107351B_TLS_2h	279050
40	0	107353B_TLS_4h	211912
40	0	107355B_TLS_8h	155420
106	2	107323A_TLS_4h	1
106	2	107325A_TLS_8h	1
106	2	107351B_TLS_2h	1
106	2	107355B_TLS_8h	2
40	1	107317A_TLS_0h_no4sU	5686
40	1	107319A_TLS_1h	12289
40	1	107321A_TLS_2h	39759
40	1	107323A_TLS_4h	56232
40	1	107325A_TLS_8h	76382
40	1	107347B_TLS_0h_no4sU	5887
40	1	107349B_TLS_1h	13425
40	1	107351B_TLS_2h	36347
40	1	107353B_TLS_4h	63914
40	1	107355B_TLS_8h	81144
106	3	107321A_TLS_2h	2
106	3	107323A_TLS_4h	1
106	3	107325A_TLS_8h	1
106	3	107351B_TLS_2h	1
106	3	107355B_TLS_8h	1
40	2	107317A_TLS_0h_no4sU	96
40	2	107319A_TLS_1h	1565
40	2	107321A_TLS_2h	10936
40	2	107323A_TLS_4h	20955
40	2	107325A_TLS_8h	33513
40	2	107347B_TLS_0h_no4sU	94
40	2	107349B_TLS_1h	2317
40	2	107351B_TLS_2h	12360
40	2	107353B_TLS_4h	30281
40	2	107355B_TLS_8h	41038
106	4	107323A_TLS_4h	2
106	4	107349B_TLS_1h	1
106	4	107353B_TLS_4h	2
106	4	107355B_TLS_8h	2
40	3	107317A_TLS_0h_no4sU	7
40	3	107319A_TLS_1h	222
40	3	107321A_TLS_2h	2786
40	3	107323A_TLS_4h	6446
40	3	107325A_TLS_8h	11339
40	3	107347B_TLS_0h_no4sU	4
40	3	107349B_TLS_1h	512
40	3	107351B_TLS_2h	4172
40	3	107353B_TLS_4h	11741
40	3	107355B_TLS_8h	16142
106	5	107323A_TLS_4h	2
106	5	107325A_TLS_8h	1
40	4	107319A_TLS_1h	48
40	4	107321A_TLS_2h	590
40	4	107323A_TLS_4h	1749
40	4	107325A_TLS_8h	3250
40	4	107349B_TLS_1h	126
40	4	107351B_TLS_2h	1247
40	4	107353B_TLS_4h	4199
40	4	107355B_TLS_8h	5561
40	5	107319A_TLS_1h	9
40	5	107321A_TLS_2h	143
40	5	107323A_TLS_4h	439
40	5	107325A_TLS_8h	823
40	5	107349B_TLS_1h	40
40	5	107351B_TLS_2h	314
40	5	107353B_TLS_4h	1340
40	5	107355B_TLS_8h	1666
40	6	107321A_TLS_2h	28
40	6	107323A_TLS_4h	100
40	6	107325A_TLS_8h	187
40	6	107349B_TLS_1h	7
40	6	107351B_TLS_2h	87
40	6	107353B_TLS_4h	370
40	6	107355B_TLS_8h	446
40	7	107321A_TLS_2h	8
40	7	107323A_TLS_4h	17
40	7	107325A_TLS_8h	54
40	7	107349B_TLS_1h	1
40	7	107351B_TLS_2h	34
40	7	107353B_TLS_4h	125
40	7	107355B_TLS_8h	128
40	8	107321A_TLS_2h	2
40	8	107323A_TLS_4h	6
40	8	107325A_TLS_8h	13
40	8	107351B_TLS_2h	8
40	8	107353B_TLS_4h	26
40	8	107355B_TLS_8h	26
40	9	107323A_TLS_4h	1
40	9	107325A_TLS_8h	1
40	9	107351B_TLS_2h	2
40	9	107353B_TLS_4h	8
40	9	107355B_TLS_8h	7
40	10	107355B_TLS_8h	1
107	0	107317A_TLS_0h_no4sU	5
107	0	107319A_TLS_1h	6
