n	d	Condition	count
52	1	107317A_TLS_0h_no4sU	8
52	1	107319A_TLS_1h	24
52	1	107321A_TLS_2h	37
52	1	107323A_TLS_4h	52
52	1	107325A_TLS_8h	43
52	1	107347B_TLS_0h_no4sU	7
52	1	107349B_TLS_1h	18
52	1	107351B_TLS_2h	37
52	1	107353B_TLS_4h	55
52	1	107355B_TLS_8h	44
19	1	107317A_TLS_0h_no4sU	3699
19	1	107319A_TLS_1h	10606
19	1	107321A_TLS_2h	32482
19	1	107323A_TLS_4h	45674
19	1	107325A_TLS_8h	70255
19	1	107347B_TLS_0h_no4sU	4029
19	1	107349B_TLS_1h	10576
19	1	107351B_TLS_2h	30772
19	1	107353B_TLS_4h	66361
19	1	107355B_TLS_8h	61940
52	2	107319A_TLS_1h	1
52	2	107321A_TLS_2h	13
52	2	107323A_TLS_4h	20
52	2	107325A_TLS_8h	22
52	2	107349B_TLS_1h	2
52	2	107351B_TLS_2h	10
52	2	107353B_TLS_4h	22
52	2	107355B_TLS_8h	20
19	2	107317A_TLS_0h_no4sU	30
19	2	107319A_TLS_1h	637
19	2	107321A_TLS_2h	4305
19	2	107323A_TLS_4h	8094
19	2	107325A_TLS_8h	14173
19	2	107347B_TLS_0h_no4sU	24
19	2	107349B_TLS_1h	958
19	2	107351B_TLS_2h	5509
19	2	107353B_TLS_4h	15784
19	2	107355B_TLS_8h	15230
52	3	107319A_TLS_1h	1
52	3	107321A_TLS_2h	8
52	3	107323A_TLS_4h	5
52	3	107325A_TLS_8h	8
52	3	107351B_TLS_2h	3
52	3	107353B_TLS_4h	17
52	3	107355B_TLS_8h	7
19	3	107319A_TLS_1h	44
19	3	107321A_TLS_2h	466
19	3	107323A_TLS_4h	1033
19	3	107325A_TLS_8h	2132
19	3	107349B_TLS_1h	94
19	3	107351B_TLS_2h	849
19	3	107353B_TLS_4h	2794
19	3	107355B_TLS_8h	2753
52	4	107321A_TLS_2h	5
52	4	107323A_TLS_4h	3
52	4	107325A_TLS_8h	2
52	4	107351B_TLS_2h	1
52	4	107353B_TLS_4h	10
52	4	107355B_TLS_8h	2
19	4	107319A_TLS_1h	5
19	4	107321A_TLS_2h	44
19	4	107323A_TLS_4h	115
19	4	107325A_TLS_8h	219
19	4	107349B_TLS_1h	6
19	4	107351B_TLS_2h	99
19	4	107353B_TLS_4h	393
19	4	107355B_TLS_8h	306
52	5	107325A_TLS_8h	2
52	5	107353B_TLS_4h	1
19	5	107321A_TLS_2h	2
19	5	107323A_TLS_4h	2
19	5	107325A_TLS_8h	5
19	5	107351B_TLS_2h	3
19	5	107353B_TLS_4h	10
19	5	107355B_TLS_8h	8
69	0	107319A_TLS_1h	1
69	0	107349B_TLS_1h	1
69	0	107353B_TLS_4h	1
36	0	107317A_TLS_0h_no4sU	31115
36	0	107319A_TLS_1h	28526
36	0	107321A_TLS_2h	23068
36	0	107323A_TLS_4h	14476
36	0	107325A_TLS_8h	10750
36	0	107347B_TLS_0h_no4sU	29319
