n	d	Condition	count
36	7	107343B_SLAM_4h	83
36	7	107345B_SLAM_8h	106
36	8	107311A_SLAM_2h	2
36	8	107313A_SLAM_4h	1
36	8	107315A_SLAM_8h	4
36	8	107341B_SLAM_2h	3
36	8	107343B_SLAM_4h	19
36	8	107345B_SLAM_8h	27
36	9	107313A_SLAM_4h	1
36	9	107315A_SLAM_8h	1
36	9	107339B_SLAM_1h	1
36	9	107341B_SLAM_2h	1
36	9	107343B_SLAM_4h	6
36	9	107345B_SLAM_8h	4
36	10	107343B_SLAM_4h	1
36	12	107343B_SLAM_4h	1
103	0	107307A_SLAM_0h_no4sU	5
103	0	107309A_SLAM_1h	3
103	0	107311A_SLAM_2h	2
103	0	107315A_SLAM_8h	1
103	0	107337B_SLAM_0h_no4sU	3
103	0	107339B_SLAM_1h	7
103	0	107341B_SLAM_2h	2
103	0	107343B_SLAM_4h	1
103	0	107345B_SLAM_8h	1
103	1	107307A_SLAM_0h_no4sU	1
103	1	107309A_SLAM_1h	2
103	1	107311A_SLAM_2h	1
103	1	107313A_SLAM_4h	1
103	1	107339B_SLAM_1h	1
37	0	107307A_SLAM_0h_no4sU	273996
37	0	107309A_SLAM_1h	197403
37	0	107311A_SLAM_2h	225570
37	0	107313A_SLAM_4h	155494
37	0	107315A_SLAM_8h	122122
37	0	107337B_SLAM_0h_no4sU	334647
37	0	107339B_SLAM_1h	272374
37	0	107341B_SLAM_2h	220505
37	0	107343B_SLAM_4h	212224
37	0	107345B_SLAM_8h	139299
103	2	107311A_SLAM_2h	2
103	2	107313A_SLAM_4h	1
37	1	107307A_SLAM_0h_no4sU	6346
37	1	107309A_SLAM_1h	10875
37	1	107311A_SLAM_2h	31970
37	1	107313A_SLAM_4h	43046
37	1	107315A_SLAM_8h	60525
37	1	107337B_SLAM_0h_no4sU	7930
37	1	107339B_SLAM_1h	15489
37	1	107341B_SLAM_2h	29601
37	1	107343B_SLAM_4h	63865
37	1	107345B_SLAM_8h	74007
103	3	107339B_SLAM_1h	1
37	2	107307A_SLAM_0h_no4sU	110
37	2	107309A_SLAM_1h	1192
37	2	107311A_SLAM_2h	8340
37	2	107313A_SLAM_4h	15271
37	2	107315A_SLAM_8h	25516
37	2	107337B_SLAM_0h_no4sU	148
37	2	107339B_SLAM_1h	2496
37	2	107341B_SLAM_2h	9842
37	2	107343B_SLAM_4h	29097
37	2	107345B_SLAM_8h	37015
37	3	107307A_SLAM_0h_no4sU	4
37	3	107309A_SLAM_1h	202
37	3	107311A_SLAM_2h	1985
37	3	107313A_SLAM_4h	4394
37	3	107315A_SLAM_8h	8187
37	3	107337B_SLAM_0h_no4sU	5
37	3	107339B_SLAM_1h	570
37	3	107341B_SLAM_2h	3188
37	3	107343B_SLAM_4h	11204
37	3	107345B_SLAM_8h	14593
103	5	107345B_SLAM_8h	1
37	4	107307A_SLAM_0h_no4sU	1
37	4	107309A_SLAM_1h	35
37	4	107311A_SLAM_2h	403
37	4	107313A_SLAM_4h	1050
37	4	107315A_SLAM_8h	2233
37	4	107339B_SLAM_1h	119
37	4	107341B_SLAM_2h	961
37	4	107343B_SLAM_4h	3790
37	4	107345B_SLAM_8h	4767
37	5	107309A_SLAM_1h	2
37	5	107311A_SLAM_2h	71
37	5	107313A_SLAM_4h	254
37	5	107315A_SLAM_8h	566
37	5	107339B_SLAM_1h	27
37	5	107341B_SLAM_2h	266
37	5	107343B_SLAM_4h	1191
37	5	107345B_SLAM_8h	1364
103	7	107313A_SLAM_4h	1
37	6	107311A_SLAM_2h	17
37	6	107313A_SLAM_4h	46
37	6	107315A_SLAM_8h	133
37	6	107339B_SLAM_1h	5
37	6	107341B_SLAM_2h	72
37	6	107343B_SLAM_4h	314
37	6	107345B_SLAM_8h	367
37	7	107311A_SLAM_2h	4
37	7	107313A_SLAM_4h	10
37	7	107315A_SLAM_8h	20
37	7	107339B_SLAM_1h	1
