n	d	Condition	count
22	0	107311A_SLAM_2h	307039
22	0	107313A_SLAM_4h	261109
22	0	107315A_SLAM_8h	200701
22	0	107337B_SLAM_0h_no4sU	345054
22	0	107339B_SLAM_1h	299778
22	0	107341B_SLAM_2h	321067
22	0	107343B_SLAM_4h	283557
22	0	107345B_SLAM_8h	213304
55	1	107307A_SLAM_0h_no4sU	2
55	1	107309A_SLAM_1h	8
55	1	107311A_SLAM_2h	17
55	1	107313A_SLAM_4h	21
55	1	107315A_SLAM_8h	25
55	1	107337B_SLAM_0h_no4sU	2
55	1	107339B_SLAM_1h	12
55	1	107341B_SLAM_2h	18
55	1	107343B_SLAM_4h	19
55	1	107345B_SLAM_8h	23
22	1	107307A_SLAM_0h_no4sU	4551
22	1	107309A_SLAM_1h	11852
22	1	107311A_SLAM_2h	33520
22	1	107313A_SLAM_4h	56178
22	1	107315A_SLAM_8h	72554
22	1	107337B_SLAM_0h_no4sU	4408
22	1	107339B_SLAM_1h	12693
22	1	107341B_SLAM_2h	35482
22	1	107343B_SLAM_4h	72391
22	1	107345B_SLAM_8h	86351
55	2	107311A_SLAM_2h	1
55	2	107313A_SLAM_4h	7
55	2	107315A_SLAM_8h	8
55	2	107341B_SLAM_2h	4
55	2	107343B_SLAM_4h	10
55	2	107345B_SLAM_8h	13
22	2	107307A_SLAM_0h_no4sU	31
22	2	107309A_SLAM_1h	881
22	2	107311A_SLAM_2h	5141
22	2	107313A_SLAM_4h	11734
22	2	107315A_SLAM_8h	17900
22	2	107337B_SLAM_0h_no4sU	41
22	2	107339B_SLAM_1h	1472
22	2	107341B_SLAM_2h	7717
22	2	107343B_SLAM_4h	21459
22	2	107345B_SLAM_8h	26662
55	3	107311A_SLAM_2h	2
55	3	107313A_SLAM_4h	3
55	3	107315A_SLAM_8h	6
55	3	107341B_SLAM_2h	1
55	3	107343B_SLAM_4h	3
55	3	107345B_SLAM_8h	6
22	3	107309A_SLAM_1h	93
22	3	107311A_SLAM_2h	608
22	3	107313A_SLAM_4h	1778
22	3	107315A_SLAM_8h	3110
22	3	107339B_SLAM_1h	181
22	3	107341B_SLAM_2h	1518
22	3	107343B_SLAM_4h	5007
22	3	107345B_SLAM_8h	6086
55	4	107313A_SLAM_4h	1
55	4	107315A_SLAM_8h	4
55	4	107339B_SLAM_1h	1
55	4	107341B_SLAM_2h	1
55	4	107345B_SLAM_8h	3
22	4	107309A_SLAM_1h	10
22	4	107311A_SLAM_2h	66
22	4	107313A_SLAM_4h	222
22	4	107315A_SLAM_8h	408
22	4	107339B_SLAM_1h	17
22	4	107341B_SLAM_2h	235
22	4	107343B_SLAM_4h	859
22	4	107345B_SLAM_8h	1026
55	5	107343B_SLAM_4h	1
55	5	107345B_SLAM_8h	1
22	5	107311A_SLAM_2h	1
22	5	107313A_SLAM_4h	5
22	5	107315A_SLAM_8h	7
22	5	107339B_SLAM_1h	2
22	5	107341B_SLAM_2h	10
22	5	107343B_SLAM_4h	43
22	5	107345B_SLAM_8h	33
39	0	107307A_SLAM_0h_no4sU	17948
39	0	107309A_SLAM_1h	15228
39	0	107311A_SLAM_2h	12731
39	0	107313A_SLAM_4h	9198
39	0	107315A_SLAM_8h	6113
39	0	107337B_SLAM_0h_no4sU	12300
39	0	107339B_SLAM_1h	13774
39	0	107341B_SLAM_2h	12556
39	0	107343B_SLAM_4h	9428
39	0	107345B_SLAM_8h	5635
6	0	107307A_SLAM_0h_no4sU	547631
6	0	107309A_SLAM_1h	438060
6	0	107311A_SLAM_2h	518663
6	0	107313A_SLAM_4h	461988
6	0	107315A_SLAM_8h	433585
6	0	107337B_SLAM_0h_no4sU	605108
6	0	107339B_SLAM_1h	511931
6	0	107341B_SLAM_2h	506291
6	0	107343B_SLAM_4h	593791
6	0	107345B_SLAM_8h	492984
39	1	107307A_SLAM_0h_no4sU	271
