n	d	Condition	count
39	7	107331A_TUC_2h	1
39	7	107333A_TUC_4h	11
39	7	107335A_TUC_8h	61
39	7	107359B_TUC_1h	3
39	7	107361B_TUC_2h	30
39	7	107363B_TUC_4h	144
39	7	107365B_TUC_8h	211
39	8	107333A_TUC_4h	2
39	8	107335A_TUC_8h	19
39	8	107359B_TUC_1h	1
39	8	107361B_TUC_2h	8
39	8	107363B_TUC_4h	47
39	8	107365B_TUC_8h	62
39	9	107335A_TUC_8h	6
39	9	107361B_TUC_2h	3
39	9	107363B_TUC_4h	8
39	9	107365B_TUC_8h	17
106	0	107327A_TUC_0h_no4sU	2
106	0	107329A_TUC_1h	4
106	0	107331A_TUC_2h	2
106	0	107335A_TUC_8h	1
106	0	107357B_TUC_0h_no4sU	4
106	0	107359B_TUC_1h	6
106	0	107361B_TUC_2h	1
106	0	107363B_TUC_4h	1
106	1	107333A_TUC_4h	2
106	1	107359B_TUC_1h	3
106	1	107361B_TUC_2h	2
106	1	107365B_TUC_8h	2
40	0	107327A_TUC_0h_no4sU	309511
40	0	107329A_TUC_1h	243426
40	0	107331A_TUC_2h	246982
40	0	107333A_TUC_4h	243740
40	0	107335A_TUC_8h	193410
40	0	107357B_TUC_0h_no4sU	260370
40	0	107359B_TUC_1h	332191
40	0	107361B_TUC_2h	243962
40	0	107363B_TUC_4h	197372
40	0	107365B_TUC_8h	167217
106	2	107335A_TUC_8h	3
106	2	107359B_TUC_1h	3
106	2	107363B_TUC_4h	1
40	1	107327A_TUC_0h_no4sU	5885
40	1	107329A_TUC_1h	11815
40	1	107331A_TUC_2h	35164
40	1	107333A_TUC_4h	67103
40	1	107335A_TUC_8h	99055
40	1	107357B_TUC_0h_no4sU	4870
40	1	107359B_TUC_1h	18081
40	1	107361B_TUC_2h	31885
40	1	107363B_TUC_4h	60162
40	1	107365B_TUC_8h	90457
106	3	107359B_TUC_1h	1
106	3	107361B_TUC_2h	4
106	3	107363B_TUC_4h	4
106	3	107365B_TUC_8h	2
40	2	107327A_TUC_0h_no4sU	82
40	2	107329A_TUC_1h	1248
