n	d	Condition	count
53	3	107365B_TUC_8h	20
20	3	107329A_TUC_1h	22
20	3	107331A_TUC_2h	417
20	3	107333A_TUC_4h	1480
20	3	107335A_TUC_8h	3511
20	3	107359B_TUC_1h	141
20	3	107361B_TUC_2h	1099
20	3	107363B_TUC_4h	3057
20	3	107365B_TUC_8h	5254
53	4	107331A_TUC_2h	2
53	4	107333A_TUC_4h	2
53	4	107335A_TUC_8h	3
53	4	107361B_TUC_2h	6
53	4	107363B_TUC_4h	8
53	4	107365B_TUC_8h	18
20	4	107329A_TUC_1h	2
20	4	107331A_TUC_2h	27
20	4	107333A_TUC_4h	175
20	4	107335A_TUC_8h	423
20	4	107359B_TUC_1h	13
20	4	107361B_TUC_2h	154
20	4	107363B_TUC_4h	480
20	4	107365B_TUC_8h	877
53	5	107363B_TUC_4h	2
53	5	107365B_TUC_8h	2
20	5	107331A_TUC_2h	1
20	5	107333A_TUC_4h	6
20	5	107335A_TUC_8h	10
20	5	107359B_TUC_1h	1
20	5	107361B_TUC_2h	2
20	5	107363B_TUC_4h	11
20	5	107365B_TUC_8h	31
70	0	107329A_TUC_1h	2
70	0	107361B_TUC_2h	1
37	0	107327A_TUC_0h_no4sU	21528
37	0	107329A_TUC_1h	18429
37	0	107331A_TUC_2h	15448
37	0	107333A_TUC_4h	13029
37	0	107335A_TUC_8h	11417
37	0	107357B_TUC_0h_no4sU	22081
37	0	107359B_TUC_1h	18896
37	0	107361B_TUC_2h	16421
37	0	107363B_TUC_4h	9842
37	0	107365B_TUC_8h	9745
70	1	107361B_TUC_2h	1
4	0	107327A_TUC_0h_no4sU	515983
4	0	107329A_TUC_1h	404107
4	0	107331A_TUC_2h	444248
4	0	107333A_TUC_4h	521545
4	0	107335A_TUC_8h	531845
4	0	107357B_TUC_0h_no4sU	395758
4	0	107359B_TUC_1h	539121
4	0	107361B_TUC_2h	443342
4	0	107363B_TUC_4h	452804
4	0	107365B_TUC_8h	477568
37	1	107327A_TUC_0h_no4sU	290
37	1	107329A_TUC_1h	1135
37	1	107331A_TUC_2h	2999
37	1	107333A_TUC_4h	4784
37	1	107335A_TUC_8h	7237
37	1	107357B_TUC_0h_no4sU	227
37	1	107359B_TUC_1h	1397
37	1	107361B_TUC_2h	3045
37	1	107363B_TUC_4h	4264
37	1	107365B_TUC_8h	7335
4	1	107327A_TUC_0h_no4sU	959
4	1	107329A_TUC_1h	2030
4	1	107331A_TUC_2h	8008
4	1	107333A_TUC_4h	18909
4	1	107335A_TUC_8h	31932
4	1	107357B_TUC_0h_no4sU	741
4	1	107359B_TUC_1h	3223
4	1	107361B_TUC_2h	8578
4	1	107363B_TUC_4h	21411
4	1	107365B_TUC_8h	32748
37	2	107327A_TUC_0h_no4sU	2
37	2	107329A_TUC_1h	136
37	2	107331A_TUC_2h	739
37	2	107333A_TUC_4h	1610
37	2	107335A_TUC_8h	3075
37	2	107357B_TUC_0h_no4sU	5
37	2	107359B_TUC_1h	349
37	2	107361B_TUC_2h	1267
37	2	107363B_TUC_4h	2281
37	2	107365B_TUC_8h	4042
4	2	107327A_TUC_0h_no4sU	2
4	2	107329A_TUC_1h	8
4	2	107331A_TUC_2h	125
4	2	107333A_TUC_4h	436
4	2	107335A_TUC_8h	831
4	2	107357B_TUC_0h_no4sU	2
4	2	107359B_TUC_1h	54
4	2	107361B_TUC_2h	251
4	2	107363B_TUC_4h	809
4	2	107365B_TUC_8h	1201
37	3	107329A_TUC_1h	9
37	3	107331A_TUC_2h	154
37	3	107333A_TUC_4h	445
37	3	107335A_TUC_8h	978
37	3	107359B_TUC_1h	75
37	3	107361B_TUC_2h	485
37	3	107363B_TUC_4h	924
37	3	107365B_TUC_8h	1790
37	4	107329A_TUC_1h	2
37	4	107331A_TUC_2h	23
37	4	107333A_TUC_4h	107
37	4	107335A_TUC_8h	259
37	4	107359B_TUC_1h	19
37	4	107361B_TUC_2h	164
37	4	107363B_TUC_4h	359
37	4	107365B_TUC_8h	618
4	3	107333A_TUC_4h	2
4	3	107335A_TUC_8h	12
4	3	107361B_TUC_2h	6
4	3	107363B_TUC_4h	16
4	3	107365B_TUC_8h	13
37	5	107331A_TUC_2h	1
37	5	107333A_TUC_4h	4
37	5	107335A_TUC_8h	25
37	5	107359B_TUC_1h	2
37	5	107361B_TUC_2h	9
37	5	107363B_TUC_4h	19
37	5	107365B_TUC_8h	45
37	6	107363B_TUC_4h	1
54	0	107327A_TUC_0h_no4sU	118
54	0	107329A_TUC_1h	91
54	0	107331A_TUC_2h	80
54	0	107333A_TUC_4h	54
54	0	107335A_TUC_8h	47
54	0	107357B_TUC_0h_no4sU	122
54	0	107359B_TUC_1h	116
54	0	107361B_TUC_2h	79
54	0	107363B_TUC_4h	51
54	0	107365B_TUC_8h	53
21	0	107327A_TUC_0h_no4sU	336428
21	0	107329A_TUC_1h	273328
21	0	107331A_TUC_2h	254053
21	0	107333A_TUC_4h	278974
